probe	gene_id	gene_name	class
348	cg19716018	ENSG00000115268	RPS15	Active
352	cg20051772	ENSG00000065357	DGKA	Active
358	cg20425384	ENSG00000184967	NOC4L	Active
362	cg20739013	ENSG00000163508	EOMES	Active
367	cg21208744	ENSG00000014914	MTMR11	Active
368	cg21245652	ENSG00000172005	MAL	Active
375	cg21488279	ENSG00000061455	PRDM6	Active
381	cg21950166	ENSG00000175793	SFN	Active
386	cg22384356	ENSG00000147689	FAM83A	Active
387	cg22388316	ENSG00000186487	MYT1L	Active
391	cg22851694	ENSG00000170075	GPR37L1	Active
395	cg23193059	ENSG00000118137	APOA1	Active
396	cg23370512	ENSG00000011347	SYT7	Active
397	cg23413697	ENSG00000075618	FSCN1	Active
399	cg23484912	ENSG00000249915	PDCD6	Active
402	cg23606421	ENSG00000188833	ENTPD8	Active
403	cg24033122	ENSG00000005844	ITGAL	Active
405	cg24174145	ENSG00000167767	KRT80	Active
407	cg24497361	ENSG00000177105	RHOG	Active
414	cg24968721	ENSG00000145423	SFRP2	Active
416	cg25121292	ENSG00000182329	KIAA2012	Active
419	cg25332717	ENSG00000115641	FHL2	Active
421	cg25362652	ENSG00000057657	PRDM1	Active
423	cg25416125	ENSG00000065357	DGKA	Active
429	cg25641145	ENSG00000186106	ANKRD46	Active
430	cg25645462	ENSG00000205336	GPR56	Active
433	cg26082814	ENSG00000153531	ADPRHL1	Active
439	cg26467949	ENSG00000135632	SMYD5	Active
448	cg26808687	ENSG00000163435	ELF3	Active
453	cg27120999	ENSG00000126803	HSPA2	Active
457	cg27427514	ENSG00000114315	HES1	Active
458	cg27496339	ENSG00000106605	BLVRA	Active
2	cg00154357	ENSG00000174963	ZIC4	Attacked
10	cg00548098	ENSG00000175643	RMI2	Attacked
11	cg00579520	ENSG00000181234	TMEM132C	Attacked
12	cg00658743	ENSG00000151353	TMEM18	Attacked
20	cg01054938	ENSG00000108846	ABCC3	Attacked
23	cg01081096	ENSG00000181652	ATG9B	Attacked
24	cg01139861	ENSG00000185811	IKZF1	Attacked
25	cg01217984	ENSG00000105996	HOXA2	Attacked
26	cg01237056	ENSG00000159307	SCUBE1	Attacked
27	cg01271812	ENSG00000143995	MEIS1	Attacked
29	cg01294808	ENSG00000170549	IRX1	Attacked
31	cg01381829	ENSG00000100354	TNRC6B	Attacked
33	cg01425762	ENSG00000153815	CMIP	Attacked
34	cg01454487	ENSG00000137857	DUOX1	Attacked
35	cg01517500	ENSG00000115758	ODC1	Attacked
37	cg01683883	ENSG00000140932	CMTM2	Attacked
38	cg01701649	ENSG00000102921	N4BP1	Attacked
39	cg01751245	ENSG00000198369	SPRED2	Attacked
40	cg01765174	ENSG00000106785	TRIM14	Attacked
42	cg01937809	ENSG00000163874	ZC3H12A	Attacked
44	cg02064267	ENSG00000138166	DUSP5	Attacked
47	cg02222728	ENSG00000164736	SOX17	Attacked
48	cg02261780	ENSG00000088256	GNA11	Attacked
50	cg02361027	ENSG00000081479	LRP2	Attacked
51	cg02442693	ENSG00000147257	GPC3	Attacked
52	cg02459416	ENSG00000167874	TMEM88	Attacked
53	cg02507181	ENSG00000150048	CLEC1A	Attacked
55	cg02547263	ENSG00000101421	CHMP4B	Attacked
56	cg02557922	ENSG00000151353	TMEM18	Attacked
57	cg02574175	ENSG00000105339	DENND3	Attacked
60	cg02732164	ENSG00000146574	CCZ1B	Attacked
62	cg02783918	ENSG00000103241	FOXF1	Attacked
63	cg02885007	ENSG00000128709	HOXD9	Attacked
64	cg02919422	ENSG00000164736	SOX17	Attacked
65	cg02994956	ENSG00000100285	NEFH	Attacked
66	cg03201337	ENSG00000108176	DNAJC12	Attacked
67	cg03207666	ENSG00000106004	HOXA5	Attacked
70	cg03731202	ENSG00000171812	COL8A2	Attacked
71	cg03783110	ENSG00000174238	PITPNA	Attacked
73	cg03851835	ENSG00000110660	SLC35F2	Attacked
74	cg03894892	ENSG00000130226	DPP6	Attacked
77	cg04027548	ENSG00000121361	KCNJ8	Attacked
79	cg04066265	ENSG00000147408	CSGALNACT1	Attacked
80	cg04081201	ENSG00000176692	FOXC2	Attacked
81	cg04261496	ENSG00000164916	FOXK1	Attacked
82	cg04339613	ENSG00000108001	EBF3	Attacked
83	cg04467618	ENSG00000118526	TCF21	Attacked
86	cg04571189	ENSG00000115758	ODC1	Attacked
88	cg04704683	ENSG00000124429	POF1B	Attacked
91	cg04780726	ENSG00000235812	ADAM21P1	Attacked
92	cg04839289	ENSG00000092051	JPH4	Attacked
93	cg04885881	ENSG00000116649	SRM	Attacked
94	cg04892766	ENSG00000163602	RYBP	Attacked
97	cg05036173	ENSG00000198075	SULT1C4	Attacked
98	cg05108467	ENSG00000185551	NR2F2	Attacked
99	cg05132999	ENSG00000085831	TTC39A	Attacked
101	cg05207465	ENSG00000082516	GEMIN5	Attacked
103	cg05368724	ENSG00000168754	FAM178B	Attacked
105	cg05546863	ENSG00000140932	CMTM2	Attacked
109	cg05800416	ENSG00000147408	CSGALNACT1	Attacked
111	cg05821464	ENSG00000075240	GRAMD4	Attacked
114	cg05901196	ENSG00000108091	CCDC6	Attacked
115	cg05973398	ENSG00000159216	RUNX1	Attacked
117	cg06023994	ENSG00000013297	CLDN11	Attacked
118	cg06042156	ENSG00000154978	VOPP1	Attacked
120	cg06103624	ENSG00000137834	SMAD6	Attacked
121	cg06250720	ENSG00000178363	CALML3	Attacked
123	cg06376426	ENSG00000158055	GRHL3	Attacked
124	cg06398236	ENSG00000070190	DAPP1	Attacked
126	cg06516865	ENSG00000139083	ETV6	Attacked
128	cg06655810	ENSG00000243766	HOTTIP	Attacked
129	cg06667761	ENSG00000138650	PCDH10	Attacked
133	cg07093324	ENSG00000115091	ACTR3	Attacked
134	cg07153665	ENSG00000140932	CMTM2	Attacked
136	cg07274406	ENSG00000160255	ITGB2	Attacked
142	cg07584855	ENSG00000136630	HLX	Attacked
143	cg07585427	ENSG00000120937	NPPB	Attacked
144	cg07621239	ENSG00000115705	TPO	Attacked
145	cg07632771	ENSG00000106462	EZH2	Attacked
150	cg07886914	ENSG00000168081	PNOC	Attacked
151	cg08065657	ENSG00000105509	HAS1	Attacked
153	cg08191854	ENSG00000142185	TRPM2	Attacked
154	cg08198187	ENSG00000151743	AMN1	Attacked
155	cg08207707	ENSG00000149564	ESAM	Attacked
158	cg08404354	ENSG00000148702	HABP2	Attacked
160	cg08565197	ENSG00000068024	HDAC4	Attacked
161	cg08752433	ENSG00000196850	PPTC7	Attacked
162	cg08863830	ENSG00000157933	SKI	Attacked
163	cg08928753	ENSG00000066056	TIE1	Attacked
165	cg09029902	ENSG00000171940	ZNF217	Attacked
166	cg09061733	ENSG00000149131	SERPING1	Attacked
167	cg09096555	ENSG00000161509	GRIN2C	Attacked
169	cg09126279	ENSG00000163694	RBM47	Attacked
170	cg09179249	ENSG00000130940	CASZ1	Attacked
172	cg09228833	ENSG00000171940	ZNF217	Attacked
179	cg09523275	ENSG00000189134	NKAPL	Attacked
180	cg09535924	ENSG00000143995	MEIS1	Attacked
181	cg09619146	ENSG00000121898	CPXM2	Attacked
185	cg09934892	ENSG00000103351	CLUAP1	Attacked
186	cg10020892	ENSG00000116128	BCL9	Attacked
189	cg10132208	ENSG00000152467	ZSCAN1	Attacked
192	cg10275315	ENSG00000169594	BNC1	Attacked
193	cg10343364	ENSG00000103351	CLUAP1	Attacked
194	cg10432422	ENSG00000201217	Y_RNA	Attacked
195	cg10432422	ENSG00000223254	Y_RNA	Attacked
196	cg10432422	ENSG00000199899	Y_RNA	Attacked
197	cg10432422	ENSG00000207073	Y_RNA	Attacked
198	cg10432422	ENSG00000207105	Y_RNA	Attacked
199	cg10432422	ENSG00000207195	Y_RNA	Attacked
200	cg10432422	ENSG00000281302	Y_RNA	Attacked
202	cg10552126	ENSG00000130226	DPP6	Attacked
203	cg10556064	ENSG00000103056	SMPD3	Attacked
205	cg10659886	ENSG00000121413	ZSCAN18	Attacked
206	cg10804656	ENSG00000077327	SPAG6	Attacked
208	cg10851763	ENSG00000177398	UMODL1	Attacked
210	cg10906284	ENSG00000166148	AVPR1A	Attacked
211	cg10982443	ENSG00000185271	KLHL33	Attacked
212	cg10995381	ENSG00000124275	MTRR	Attacked
213	cg11015251	ENSG00000197576	HOXA4	Attacked
218	cg11590772	ENSG00000142303	ADAMTS10	Attacked
219	cg11625005	ENSG00000164362	TERT	Attacked
224	cg12082609	ENSG00000143995	MEIS1	Attacked
225	cg12179658	ENSG00000196639	HRH1	Attacked
234	cg12640000	ENSG00000240563	L1TD1	Attacked
235	cg12782180	ENSG00000174697	LEP	Attacked
236	cg12897164	ENSG00000156804	FBXO32	Attacked
238	cg13212186	ENSG00000206344	HCG27	Attacked
240	cg13327545	ENSG00000077327	SPAG6	Attacked
243	cg13502540	ENSG00000206344	HCG27	Attacked
245	cg13555050	ENSG00000164093	PITX2	Attacked
246	cg13570972	ENSG00000007372	PAX6	Attacked
247	cg13625026	ENSG00000117983	MUC5B	Attacked
250	cg13713922	ENSG00000074047	GLI2	Attacked
254	cg13942103	ENSG00000177301	KCNA2	Attacked
255	cg13977835	ENSG00000117318	ID3	Attacked
257	cg14058329	ENSG00000106004	HOXA5	Attacked
259	cg14106046	ENSG00000175711	B3GNTL1	Attacked
260	cg14212038	ENSG00000173237	C11orf86	Attacked
262	cg14254748	ENSG00000240563	L1TD1	Attacked
263	cg14319235	ENSG00000162618	ELTD1	Attacked
265	cg14356919	ENSG00000182871	COL18A1	Attacked
267	cg14427009	ENSG00000118946	PCDH17	Attacked
268	cg14440640	ENSG00000027075	PRKCH	Attacked
270	cg14489474	ENSG00000141433	ADCYAP1	Attacked
272	cg14506696	ENSG00000070190	DAPP1	Attacked
274	cg14676407	ENSG00000121898	CPXM2	Attacked
280	cg15607664	ENSG00000185633	NDUFA4L2	Attacked
281	cg15961693	ENSG00000164442	CITED2	Attacked
282	cg15994467	ENSG00000161835	GRASP	Attacked
283	cg16031528	ENSG00000083307	GRHL2	Attacked
287	cg16399049	ENSG00000122254	HS3ST2	Attacked
288	cg16429725	ENSG00000140859	KIFC3	Attacked
289	cg16526732	ENSG00000180263	FGD6	Attacked
291	cg16651126	ENSG00000197576	HOXA4	Attacked
294	cg16755214	ENSG00000100526	CDKN3	Attacked
296	cg16830930	ENSG00000164736	SOX17	Attacked
300	cg17124583	ENSG00000107485	GATA3	Attacked
302	cg17337672	ENSG00000066468	FGFR2	Attacked
303	cg17408527	ENSG00000121413	ZSCAN18	Attacked
305	cg17501395	ENSG00000178199	ZC3H12D	Attacked
306	cg17516247	ENSG00000152061	RABGAP1L	Attacked
315	cg17578639	ENSG00000177565	TBL1XR1	Attacked
319	cg18006637	ENSG00000138640	FAM13A	Attacked
320	cg18034637	ENSG00000150764	DIXDC1	Attacked
321	cg18082788	ENSG00000178199	ZC3H12D	Attacked
322	cg18175779	ENSG00000066056	TIE1	Attacked
325	cg18335796	ENSG00000104327	CALB1	Attacked
327	cg18577239	ENSG00000170653	ATF7	Attacked
330	cg18693673	ENSG00000121413	ZSCAN18	Attacked
332	cg18728264	ENSG00000160683	CXCR5	Attacked
333	cg18787437	ENSG00000142627	EPHA2	Attacked
336	cg18845417	ENSG00000144029	MRPS5	Attacked
337	cg18986967	ENSG00000006530	AGK	Attacked
340	cg19163395	ENSG00000108840	HDAC5	Attacked
347	cg19678828	ENSG00000166265	CYYR1	Attacked
349	cg19908768	ENSG00000198075	SULT1C4	Attacked
350	cg19917412	ENSG00000168060	NAALADL1	Attacked
351	cg19924352	ENSG00000147689	FAM83A	Attacked
354	cg20119106	ENSG00000130226	DPP6	Attacked
355	cg20309677	ENSG00000163399	ATP1A1	Attacked
356	cg20335735	ENSG00000120253	NUP43	Attacked
357	cg20394609	ENSG00000170571	EMB	Attacked
359	cg20554882	ENSG00000276309	7SK	Attacked
360	cg20608990	ENSG00000064012	CASP8	Attacked
361	cg20651995	ENSG00000198380	GFPT1	Attacked
363	cg20979153	ENSG00000171940	ZNF217	Attacked
364	cg21006727	ENSG00000160255	ITGB2	Attacked
366	cg21158087	ENSG00000167434	CA4	Attacked
369	cg21273275	ENSG00000158055	GRHL3	Attacked
371	cg21385480	ENSG00000144749	LRIG1	Attacked
372	cg21399203	ENSG00000128040	SPINK2	Attacked
376	cg21581504	ENSG00000119865	CNRIP1	Attacked
377	cg21723559	ENSG00000124155	PIGT	Attacked
380	cg21865845	ENSG00000169855	ROBO1	Attacked
382	cg22031964	ENSG00000168539	CHRM1	Attacked
383	cg22143352	ENSG00000140044	JDP2	Attacked
385	cg22360146	ENSG00000009307	CSDE1	Attacked
390	cg22600043	ENSG00000147655	RSPO2	Attacked
393	cg22950831	ENSG00000150760	DOCK1	Attacked
394	cg23043143	ENSG00000106012	IQCE	Attacked
398	cg23433008	ENSG00000146090	RASGEF1C	Attacked
400	cg23497016	ENSG00000143995	MEIS1	Attacked
401	cg23577033	ENSG00000148660	CAMK2G	Attacked
409	cg24522654	ENSG00000139154	AEBP2	Attacked
410	cg24553417	ENSG00000123179	EBPL	Attacked
412	cg24785726	ENSG00000136160	EDNRB	Attacked
413	cg24935896	ENSG00000174307	PHLDA3	Attacked
417	cg25227672	ENSG00000165478	HEPACAM	Attacked
418	cg25278144	ENSG00000167291	TBC1D16	Attacked
420	cg25355291	ENSG00000120875	DUSP4	Attacked
424	cg25506432	ENSG00000106004	HOXA5	Attacked
426	cg25555059	ENSG00000113396	SLC27A6	Attacked
427	cg25629790	ENSG00000174348	PODN	Attacked
431	cg25647583	ENSG00000182511	FES	Attacked
434	cg26157385	ENSG00000162722	TRIM58	Attacked
435	cg26192520	ENSG00000164924	YWHAZ	Attacked
436	cg26200585	ENSG00000105227	PRX	Attacked
437	cg26286961	ENSG00000147408	CSGALNACT1	Attacked
440	cg26516532	ENSG00000199899	Y_RNA	Attacked
441	cg26516532	ENSG00000223254	Y_RNA	Attacked
442	cg26516532	ENSG00000207073	Y_RNA	Attacked
443	cg26537478	ENSG00000143995	MEIS1	Attacked
444	cg26650359	ENSG00000179912	R3HDM2	Attacked
445	cg26673195	ENSG00000131482	G6PC	Attacked
446	cg26689077	ENSG00000139626	ITGB7	Attacked
449	cg26814075	ENSG00000174697	LEP	Attacked
454	cg27181349	ENSG00000171812	COL8A2	Attacked
455	cg27212428	ENSG00000185774	KCNIP4	Attacked
456	cg27252164	ENSG00000183734	ASCL2	Attacked
